bands/lf,bands/uf,bands/s,bands/u,bands/v
1260000000,1300000000,Space Science,Met Office,1
1260000000,1300000000,Space Science,Radio Navigation Satellite Service,1
1260000000,1300000000,Space Science,Space Research Service (Active),1
1300000000,1350000000,Space Science,Radio Navigation Satellite Service,1
1350000000,1375000000,Fixed Links,Point-to-Point Fixed Links,1
1350000000,1380000000,Space Science,Radio Astronomy,1
1375000000,1400000000,Public sector,Military,1
1380000000,1400000000,Space Science,Radio Astronomy,1
1389000000,1399000000,Licence exempt,Video Distribution for Private Use,1
1389000000,1399000000,Licence exempt,Wireless Video Cameras - Non Broadcasting,1
1400000000,1427000000,Space Science,Earth Exploration Satellite Service (passive),1
1400000000,1427000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
1400000000,1427000000,Space Science,Space Research Service (passive),1
1427000000,1429000000,Space Science,Space Operations Service,1
1427000000,1452000000,Public sector,Military,1
1452000000,1472000000,Mobile and Wireless broadband,Spectrum Access Vodafone,1
1452000000,1492000000,N/A,Spectrum Access L Band (1452-1492 MHz),0
1472000000,1492000000,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Uplink),1
1492000000,1517000000,Fixed Links,Point-to-Point Fixed Links,1
1517000000,1525000000,PMSE,Audio Distribution System,1
1517000000,1525000000,PMSE,Programme Making and Special Events (Fixed Site),1
1517000000,1525000000,PMSE,Programme Making and Special Events (Link),1
1517000000,1525000000,PMSE,Programme Making and Special Events (Low Power),1
1518000000,1544000000,Satellite,Land Mobile-Satellite Service Stations,1
1525000000,1530000000,Space Science,Earth Exploration Satellite Service,1
1525000000,1530000000,Space Science,Space Operations Service,1
1525000000,1544000000,Satellite,Land Mobile-Satellite Service Stations,1
1525000000,1559000000,Maritime,Maritime Radio (Suppliers and Demonstration),1
1525000000,1559000000,Maritime,Ship Radio,1
1530000000,1533000000,Space Science,Earth Exploration Satellite Service,1
1530000000,1533000000,Space Science,Space Operations Service,1
1533000000,1535000000,Space Science,Earth Exploration Satellite Service,1
1533000000,1535000000,Space Science,Space Operations Service,1
1545000000,1559000000,Satellite,Land Mobile-Satellite Service Stations,1
1559000000,1610000000,Satellite,Global Navigation Satellite System (GNSS) Repeaters,1
1559000000,1610000000,Space Science,Radio Navigation Satellite Service,1
1559000000,1626500000,Public sector,Military,1
1610000000,1621350000,Satellite,Land Mobile-Satellite Service Stations,1
1610600000,1613800000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
1621350000,1626500000,Satellite,Land Mobile-Satellite Service Stations,1
1626500000,1645500000,Satellite,Land Mobile-Satellite Service Stations,1
1626500000,1660500000,Maritime,Maritime Radio (Suppliers and Demonstration),1
1626500000,1660500000,Maritime,Ship Radio,1
1646500000,1656500000,Aeronautical,Aircraft,1
1646500000,1660500000,Satellite,Land Mobile-Satellite Service Stations,1
1660000000,1660500000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
1660500000,1668000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
1660500000,1668000000,Space Science,Space Research Service (passive),1
1668000000,1668400000,Space Science,Space Research Service (passive),1
1668000000,1670000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
1670000000,1675000000,Satellite,Land Mobile-Satellite Service Stations,1
1672000000,1673000000,Fixed Links,Point-to-Point Fixed Links,1
1677000000,1685000000,Public sector,Business Radio (Police and Fire),1
1686000000,1687000000,Fixed Links,Point-to-Point Fixed Links,1
1690000000,1710000000,Space Science,Met Office,1
1690000000,1710000000,Space Science,RSA for receive only earth stations (ROES),1
1710000000,1785000000,N/A,Cellular Radiotelephone Systems (2G - GSM),0
1710000000,1785000000,N/A,Cellular Radiotelephone Systems (4G - LTE/WiMAX),0
1710000000,1785000000,N/A,Public  Wireless Networks (2G/3G Cellular Operator),0
1710000000,1785000000,N/A,Public Wireless Networks (2G Cellular Operator - Guernsey),0
1710000000,1785000000,N/A,Public Wireless Networks (2G Cellular Operator - Isle of Man),0
1710000000,1785000000,N/A,Public Wireless Networks (2G Cellular Operator - Jersey),0
1710100000,1715900000,Mobile and Wireless broadband,PWN Telefonica UK (Uplink),1
1710100000,1785000000,N/A,Cellular Radiotelephone Systems (3G - UMTS/PCN),0
1715900000,1721700000,Mobile and Wireless broadband,PWN Vodafone (Uplink),1
1718200000,1722200000,Space Science,Radio Astronomy,1
1721700000,1731700000,Mobile and Wireless broadband,PWN EE (Uplink),1
1721700000,1731700000,Mobile and Wireless broadband,PWN Hutchison 3G (Uplink),1
1731700000,1736700000,Mobile and Wireless broadband,PWN EE (Uplink),1
1731700000,1736700000,Mobile and Wireless broadband,PWN Hutchison 3G (Uplink),1
1736700000,1781700000,Mobile and Wireless broadband,PWN EE (Uplink),1
1750000000,1785000000,Public sector,Military,1
1781700000,1785000000,Mobile and Wireless broadband,Shared Access (Low Power),1
1781700000,1785000000,Mobile and Wireless broadband,Shared Access (Medium Power),1
1785000000,1800000000,PMSE,Programme Making and Special Events (Fixed Site),1
1785000000,1800000000,PMSE,Programme Making and Special Events (Link),1
1785000000,1800000000,PMSE,Programme Making and Special Events (Low Power),1
1785000000,1800000000,Public sector,Military,1
1785000000,1805000000,,,0
1785000000,1805000000,Mobile and Wireless broadband,1785-1805 MHz Northern Ireland Award,1
1785000000,1805000000,PMSE,UK Wireless Microphone (Annual),1
1785000000,1805000000,PMSE,UK Wireless Microphone (Biennial),1
1800000000,1805000000,Public sector,Military,1
1805000000,1880000000,,,0
1805000000,1880000000,N/A,Cellular Radiotelephone Systems (2G - GSM),0
1805000000,1880000000,N/A,Cellular Radiotelephone Systems (4G - LTE/WiMAX),0
1805000000,1880000000,N/A,Public  Wireless Networks (2G/3G Cellular Operator),0
1805000000,1880000000,N/A,Public Wireless Networks (2G Cellular Operator - Guernsey),0
1805000000,1880000000,N/A,Public Wireless Networks (2G Cellular Operator - Isle of Man),0
1805000000,1880000000,N/A,Public Wireless Networks (2G Cellular Operator - Jersey),0
1805000000,1880000000,Public sector,Military,1
1805100000,1810900000,Mobile and Wireless broadband,PWN Telefonica UK (Downlink),1
1810900000,1816700000,Mobile and Wireless broadband,PWN Vodafone (Downlink),1
1816700000,1826700000,Mobile and Wireless broadband,PWN EE (Downlink),1
1816700000,1826700000,Mobile and Wireless broadband,PWN Hutchison 3G (Downlink),1
1826700000,1831700000,Mobile and Wireless broadband,PWN EE (Downlink),1
1826700000,1831700000,Mobile and Wireless broadband,PWN Hutchison 3G (Downlink),1
1831700000,1876700000,Mobile and Wireless broadband,PWN EE (Downlink),1
1876700000,1880000000,Mobile and Wireless broadband,Shared Access (Low Power),1
1876700000,1880000000,Mobile and Wireless broadband,Shared Access (Medium Power),1
1880000000,1900000000,Licence exempt,Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT),1
1899900000,1909900000,Mobile and Wireless broadband,Spectrum Access EE,1
1899900000,1920000000,N/A,Cellular Radiotelephone Systems (3G - UMTS/PCN),0
1899900000,1980000000,N/A,Public Wireless Networks (3G Cellular Operator - Guernsey),0
1899900000,1980000000,N/A,Public Wireless Networks (3G Cellular Operator - Isle of Man),0
1899900000,1980000000,N/A,Public Wireless Networks (3G Cellular Operator - Jersey),0
1900000000,1920000000,N/A,Public Wireless Networks (3G Cellular Operator),0
1909900000,1914900000,Mobile and Wireless broadband,Spectrum Access Telefonica,1
1914900000,1920000000,Mobile and Wireless broadband,Spectrum Access Hutchison 3G,1
1920000000,1934900000,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Uplink),1
1920000000,1980000000,,,0
1920000000,1980000000,N/A,Cellular Radiotelephone Systems (3G - UMTS/PCN),0
1920000000,1980000000,N/A,Cellular Radiotelephone Systems (4G - LTE/WiMAX),0
1920000000,1980000000,N/A,Public Wireless Networks (3G Cellular Operator),0
1934900000,1944900000,Mobile and Wireless broadband,Spectrum Access Telefonica (Uplink),1
1944900000,1959700000,Mobile and Wireless broadband,Spectrum Access Vodafone (Uplink),1
1959700000,1979700000,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1
1980000000,2010000000,Satellite,Complementary Ground Components of a Mobile Satellite System,1
1997500000,2010000000,Satellite,Land Mobile-Satellite Service Stations,1
2010000000,2025000000,PMSE,Programme Making and Special Events (Fixed Site),1
2010000000,2025000000,PMSE,Programme Making and Special Events (Link),1
2010000000,2025000000,PMSE,Programme Making and Special Events (Low Power),1
2025000000,2110000000,,,0
2025000000,2110000000,PMSE,Programme Making and Special Events (Fixed Site),1
2025000000,2110000000,PMSE,Programme Making and Special Events (Link),1
2025000000,2110000000,PMSE,Programme Making and Special Events (Low Power),1
2025000000,2110000000,Public sector,Military,1
2025000000,2110000000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
2025000000,2110000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
2025000000,2110000000,Space Science,Earth Exploration Satellite Service,1
2025000000,2110000000,Space Science,Space Operations Service,1
2100000000,2105000000,Fixed Links,Point-to-Point Fixed Links,1
2110000000,2120000000,,,0
2110000000,2170000000,N/A,Cellular Radiotelephone Systems (3G - UMTS/PCN),0
2110000000,2170000000,N/A,Cellular Radiotelephone Systems (4G - LTE/WiMAX),0
2110000000,2170000000,N/A,Public Wireless Networks (3G Cellular Operator - Guernsey),0
2110000000,2170000000,N/A,Public Wireless Networks (3G Cellular Operator - Isle of Man),0
2110000000,2170000000,N/A,Public Wireless Networks (3G Cellular Operator - Jersey),0
2110000000,2170000000,N/A,Public Wireless Networks (3G Cellular Operator),0
2110300000,2124900000,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Downlink),1
2124900000,2134900000,Mobile and Wireless broadband,Spectrum Access Telefonica (Downlink),1
2134900000,2149700000,Mobile and Wireless broadband,Spectrum Access Vodafone (Downlink),1
2149700000,2169700000,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1
2170000000,2200000000,Satellite,Complementary Ground Components of a Mobile Satellite System,1
2187500000,2200000000,Satellite,Land Mobile-Satellite Service Stations,1
2200000000,2290000000,Public sector,Military,1
2200000000,2290000000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
2200000000,2290000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
2200000000,2290000000,Space Science,Earth Exploration Satellite Service,1
2200000000,2290000000,Space Science,Space Operations Service,1
2200000000,2300000000,PMSE,Programme Making and Special Events (Fixed Site),1
2200000000,2300000000,PMSE,Programme Making and Special Events (Link),1
2200000000,2300000000,PMSE,Programme Making and Special Events (Low Power),1
2205000000,2210000000,Fixed Links,Point-to-Point Fixed Links,1
2290000000,2300000000,,,0
2290000000,2300000000,Space Science,Radio Astronomy,1
2302000000,2310000000,Public sector,Military,1
2310000000,2320000000,Public sector,Business Radio (Police and Fire),1
2310000000,2350000000,Amateur,Amateur Radio Full Licence,1
2310000000,2350000000,Amateur,Amateur Radio Intermediate Licence,1
2310000000,2450000000,Public sector,Military,1
2320000000,2350000000,Public sector,Business Radio (Police and Fire),1
2350000000,2390000000,,,0
2350000000,2390000000,Mobile and Wireless broadband,Spectrum Access Telefonica,1
2390000000,2400000000,Mobile and Wireless broadband,Shared Access (Low Power),1
2390000000,2400000000,Mobile and Wireless broadband,Shared Access (Medium Power),1
2390000000,2450000000,Amateur,Amateur Radio Full Licence,1
2390000000,2450000000,Amateur,Amateur Radio Intermediate Licence,1
2390000000,2500000000,PMSE,Programme Making and Special Events (Fixed Site),1
2390000000,2500000000,PMSE,Programme Making and Special Events (Link),1
2390000000,2500000000,PMSE,Programme Making and Special Events (Low Power),1
2400000000,2483500000,Licence exempt,Non-Specific Short Range Devices,1
2400000000,2483500000,Licence exempt,Radio Determination,1
2400000000,2483500000,Licence exempt,Wideband Data Transmission Devices,1
2400000000,2483500000,Licence exempt,Wireless Video Cameras - Non Broadcasting,1
2400000000,2483500000,Licence exempt,Wireless audio/multimedia,1
2445000000,2455000000,Licence exempt,Industrial/Commercial Telemetry and Tele-command,1
2445000000,2455000000,Licence exempt,Radio Determination,1
2445000000,2455000000,Licence exempt,Short Range Indoor Data Links,1
2446000000,2454000000,Licence exempt,Radio Frequency Identification (RFID),1
2446000000,2454000000,Licence exempt,Railway Applications,1
2450000000,2483500000,Public sector,Military,1
2483500000,2500000000,Licence exempt,Active Medical Implants,1
2483500000,2500000000,Satellite,Land Mobile-Satellite Service Stations,1
2500000000,2520000000,Mobile and Wireless broadband,Spectrum Access Vodafone (Uplink),1
2500000000,2690000000,N/A,Cellular Radiotelephone Systems (4G - LTE/WiMAX),0
2500000000,2690000000,N/A,Public Wireless Networks (2G Cellular Operator - Guernsey),0
2500000000,2690000000,N/A,Public Wireless Networks (2G Cellular Operator - Isle of Man),0
2500000000,2690000000,N/A,Public Wireless Networks (2G Cellular Operator - Jersey),0
2500000000,2690000000,N/A,Spectrum Access (800 MHz and 2.6 GHz),0
2520000000,2535000000,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1
2535000000,2570000000,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1
2570000000,2595000000,Mobile and Wireless broadband,Spectrum Access Vodafone,1
2595000000,2620000000,Mobile and Wireless broadband,Spectrum Access Telefonica,1
2620000000,2640000000,Mobile and Wireless broadband,Spectrum Access Vodafone (Downlink),1
2640000000,2655000000,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1
2655000000,2670000000,Space Science,Earth Exploration Satellite Service (passive),1
2655000000,2670000000,Space Science,Radio Astronomy,1
2655000000,2670000000,Space Science,Space Research Service (passive),1
2655000000,2690000000,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1
2670000000,2690000000,Space Science,Earth Exploration Satellite Service (passive),1
2670000000,2690000000,Space Science,Radio Astronomy,1
2670000000,2690000000,Space Science,Space Research Service (passive),1
2690000000,2700000000,Space Science,Earth Exploration Satellite Service (passive),1
2690000000,2700000000,Space Science,Met Office,1
2690000000,2700000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
2690000000,2700000000,Space Science,Space Research Service (passive),1
2700000000,2900000000,Public sector,Military,1
2700000000,3100000000,Aeronautical,Aeronautical Radar,1
2900000000,3100000000,Maritime,Maritime Navigational Aids and Radar,1
2900000000,3100000000,Maritime,Ship Radio,1
2900000000,3600000000,Public sector,Military,1
3100000000,3300000000,Space Science,Earth Exploration Satellite Service (active),1
3100000000,3300000000,Space Science,Space Research Service (Active),1
3100000000,3402000000,Public sector,Business Radio (Police and Fire),1
3400000000,3410000000,Amateur,Amateur Radio Full Licence,1
3400000000,3410000000,Amateur,Amateur Radio Intermediate Licence,1
3400000000,3410000000,PMSE,Programme Making and Special Events (Fixed Site),1
3410000000,3460000000,Mobile and Wireless broadband,Spectrum Access Vodafone,1
3410000000,3480000000,,,0
3460000000,3480000000,Mobile and Wireless broadband,Spectrum Access Hutchison 3G,1
3480000000,3500000000,Mobile and Wireless broadband,Spectrum Access UK Broadband,1
3480000000,3500000000,N/A,Spectrum Access (3.5 GHz Band),0
3500000000,3540000000,Mobile and Wireless broadband,Spectrum Access Telefonica,1
3500000000,3580000000,,,0
3540000000,3580000000,Mobile and Wireless broadband,Spectrum Access EE,1
3580000000,3600000000,Mobile and Wireless broadband,Spectrum Access UK Broadband,1
3580000000,3600000000,N/A,Spectrum Access (3.5 GHz Band),0
3600000000,3630000000,N/A,Fixed Wireless Access (3.6 GHz Guernsey),0
3600000000,3630000000,N/A,Fixed Wireless Access (3.6 GHz Isle of Man),0
3600000000,3630000000,N/A,Fixed Wireless Access (3.6 GHz Jersey),0
3600000000,3680000000,Mobile and Wireless broadband,Spectrum Access UK Broadband,1
3600000000,3680000000,N/A,Spectrum Access  (3.6 GHz),0
3680000000,3720000000,Mobile and Wireless broadband,Spectrum Access EE,1
3680000000,3800000000,Mobile and Wireless Broadband,Spectrum Access (3.6-3.8 MHz),1
3700000000,3730000000,N/A,Fixed Wireless Access (3.6 GHz Guernsey),0
3700000000,3730000000,N/A,Fixed Wireless Access (3.6 GHz Isle of Man),0
3700000000,3730000000,N/A,Fixed Wireless Access (3.6 GHz Jersey),0
3720000000,3760000000,Mobile and Wireless broadband,Spectrum Access Telefonica,1
3720000000,3760000000,Mobile and Wireless broadband,Spectrum Access Vodafone,1
3760000000,3800000000,Mobile and Wireless broadband,Spectrum Access Telefonica,1
3800000000,3925000000,Fixed Links,Point-to-Point Fixed Links,1
3800000000,4200000000,Mobile and Wireless broadband,Shared Access (Low Power),1
3800000000,4200000000,Mobile and Wireless broadband,Shared Access (Medium Power),1
3800000000,4200000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
3800000000,4200000000,Satellite,Satellite (Permanent Earth Station),1
3800000000,4200000000,Space Science,RSA for receive only earth stations (ROES),1
3925000000,4009000000,Mobile and Wireless broadband,Spectrum Access UK Broadband,1
3925000000,4009000000,N/A,Spectrum Access  (3.6 GHz),0
4009000000,4200000000,Fixed Links,Point-to-Point Fixed Links,1
4200000000,4400000000,Aeronautical,Aircraft,1
4200000000,5000000000,Public sector,Military,1
4500000000,7000000000,Licence exempt,Radio Determination,1
4500000000,7000000000,Licence exempt,Tank Level Probing Radar (TLPR),1
4600000000,4825000000,Space Science,Radio Astronomy,1
4825000000,4835000000,Space Science,Radio Astronomy,1
4835000000,4950000000,Space Science,Radio Astronomy,1
4950000000,4990000000,Space Science,Radio Astronomy,1
4990000000,5000000000,Space Science,Radio Astronomy,1
5000000000,5010000000,Space Science,Radio Navigation Satellite Service,1
5000000000,5250000000,Aeronautical,Aeronautical Navigation Aid Stations,1
5000000000,5850000000,Public sector,Military,1
5010000000,5030000000,Space Science,Radio Navigation Satellite Service,1
5150000000,5250000000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
5150000000,5250000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
5150000000,5250000000,Satellite,Satellite (Permanent Earth Station),1
5150000000,5350000000,Licence exempt,Wireless Access Systems,1
5150000000,7100000000,Licence exempt,Radar Level Gauges,1
5250000000,5255000000,,,0
5250000000,5255000000,,,0
5255000000,5350000000,Space Science,Earth Exploration Satellite Service (active),1
5255000000,5350000000,Space Science,Space Research Service (Active),1
5350000000,5460000000,Space Science,Earth Exploration Satellite Service (active),1
5350000000,5460000000,Space Science,Space Research Service (Active),1
5350000000,5470000000,Aeronautical,Aircraft,1
5460000000,5470000000,Space Science,Earth Exploration Satellite Service (active),1
5460000000,5470000000,Space Science,Space Research Service (Active),1
5470000000,5570000000,Space Science,Earth Exploration Satellite Service (active),1
5470000000,5570000000,Space Science,Space Research Service (Active),1
5470000000,5725000000,Licence exempt,Wireless Access Systems,1
5472000000,5588000000,PMSE,Programme Making and Special Events (Fixed Site),1
5472000000,5588000000,PMSE,Programme Making and Special Events (Link),1
5472000000,5588000000,PMSE,Programme Making and Special Events (Low Power),1
5575000000,5765000000,Amateur,Amateur Radio Intermediate Licence,1
5600000000,5650000000,Space Science,Met Office,1
5650000000,5680000000,Amateur,Amateur Radio Full Licence,1
5650000000,5680000000,Amateur,Amateur Radio Intermediate Licence,1
5650000000,5725000000,Space Science,Space Research Service (deep space),1
5682500000,5702500000,PMSE,Programme Making and Special Events (Fixed Site),1
5682500000,5702500000,PMSE,Programme Making and Special Events (Link),1
5682500000,5702500000,PMSE,Programme Making and Special Events (Low Power),1
5705000000,5725000000,PMSE,Programme Making and Special Events (Fixed Site),1
5705000000,5725000000,PMSE,Programme Making and Special Events (Link),1
5705000000,5725000000,PMSE,Programme Making and Special Events (Low Power),1
5725000000,5850000000,Licence exempt,Wireless Access Systems,1
5725000000,5850000000,Mobile and Wireless broadband,Fixed Wireless Access (5.8 GHz band),1
5725000000,5875000000,Licence exempt,Non-Specific Short Range Devices,1
5725000000,5875000000,Licence exempt,Radio Determination,1
5725000000,5875000000,Licence exempt,Short Range Indoor Data Links,1
5725000000,5875000000,Licence exempt,Wireless Video Cameras - Non Broadcasting,1
5725000000,7075000000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
5725000000,7075000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
5725000000,7075000000,Satellite,Satellite (Permanent Earth Station),1
5732500000,5752500000,PMSE,Programme Making and Special Events (Fixed Site),1
5732500000,5752500000,PMSE,Programme Making and Special Events (Link),1
5732500000,5752500000,PMSE,Programme Making and Special Events (Low Power),1
5755000000,5765000000,Amateur,Amateur Radio Full Licence,1
5755000000,5765000000,Amateur,Amateur Radio Intermediate Licence,1
5770000000,5790000000,PMSE,Programme Making and Special Events (Fixed Site),1
5770000000,5790000000,PMSE,Programme Making and Special Events (Link),1
5770000000,5790000000,PMSE,Programme Making and Special Events (Low Power),1
5795000000,5805000000,Licence exempt,Transport and Traffic Telematics,1
5795000000,5815000000,Licence exempt,Intelligent Transport Systems (ITS),1
5795000000,5815000000,PMSE,Programme Making and Special Events (Fixed Site),1
5795000000,5815000000,PMSE,Programme Making and Special Events (Link),1
5795000000,5815000000,PMSE,Programme Making and Special Events (Low Power),1
5805000000,5815000000,Licence exempt,Transport and Traffic Telematics,1
5820000000,5850000000,Amateur,Amateur Radio Full Licence,1
5820000000,5850000000,Amateur,Amateur Radio Intermediate Licence,1
5850000000,5925000000,PMSE,Programme Making and Special Events (Fixed Site),1
5850000000,5925000000,PMSE,Programme Making and Special Events (Link),1
5850000000,5925000000,PMSE,Programme Making and Special Events (Low Power),1
5850000000,7075000000,Public sector,Military,1
5855000000,5865000000,Licence exempt,Transport and Traffic Telematics,1
5865000000,5875000000,Licence exempt,Transport and Traffic Telematics,1
5875000000,5905000000,Licence exempt,Intelligent Transport Systems (ITS),1
5925000000,6425000000,Fixed Links,Point-to-Point Fixed Links,1
5925000000,6425000000,Licence exempt,Wireless Access Systems,1
5925000000,7075000000,Satellite,Satellite (Transportable Earth Station)(high power),1
5925000000,7075000000,Satellite,Satellite (Transportable Earth Station)(low power),1
5925000000,7075000000,Satellite,Satellite (Transportable Earth Station)(medium power),1
6425000000,7125000000,Fixed Links,Point-to-Point Fixed Links,1
6425000000,7250000000,Space Science,Met Office,1
6650000000,6675200000,Space Science,Radio Astronomy,1
7110000000,7250000000,PMSE,Programme Making and Special Events (Fixed Site),1
7110000000,7250000000,PMSE,Programme Making and Special Events (Link),1
7110000000,7250000000,PMSE,Programme Making and Special Events (Low Power),1
7145000000,7235000000,,,0
7250000000,7300000000,Public sector,Military,1
7300000000,7425000000,PMSE,Programme Making and Special Events (Fixed Site),1
7300000000,7425000000,PMSE,Programme Making and Special Events (Link),1
7300000000,7425000000,PMSE,Programme Making and Special Events (Low Power),1
7300000000,7750000000,Public sector,Military,1
7425000000,7900000000,Fixed Links,Point-to-Point Fixed Links,1
7450000000,7550000000,Space Science,Met Office,1
7750000000,7850000000,Space Science,Met Office,1
7750000000,7850000000,Space Science,RSA for receive only earth stations (ROES),1
7900000000,8400000000,Public sector,Military,1
8025000000,8175000000,Space Science,Earth Exploration Satellite Service,1
8175000000,8400000000,Space Science,Met Office,1
8340000000,8360000000,Public sector,Business Radio (Police and Fire),1
8400000000,8460000000,Public sector,Business Radio (Police and Fire),1
8400000000,8500000000,,,0
8400000000,8500000000,Space Science,Radio Astronomy,1
8460000000,8500000000,PMSE,Programme Making and Special Events (Fixed Site),1
8460000000,8500000000,PMSE,Programme Making and Special Events (Link),1
8460000000,8500000000,PMSE,Programme Making and Special Events (Low Power),1
8500000000,10125000000,Public sector,Military,1
8500000000,10600000000,Licence exempt,Radar Level Gauges,1
8500000000,10600000000,Licence exempt,Radio Determination,1
8500000000,10600000000,Licence exempt,Tank Level Probing Radar (TLPR),1
8550000000,8650000000,Space Science,Earth Exploration Satellite Service (active),1
8550000000,8650000000,Space Science,Space Research Service (Active),1
9000000000,9200000000,Aeronautical,Aeronautical Radar,1
9000000000,9500000000,Maritime,Maritime Navigational Aids and Radar,1
9200000000,9500000000,Maritime,Ship Radio,1
9300000000,9500000000,Aeronautical,Aeronautical Radar,1
9300000000,9500000000,Aeronautical,Aircraft,1
9300000000,9500000000,Space Science,Earth Exploration Satellite Service (active),1
9300000000,9500000000,Space Science,Space Research Service (Active),1
9500000000,9800000000,Space Science,Earth Exploration Satellite Service (active),1
9500000000,9800000000,Space Science,Space Research Service (Active),1
9800000000,9900000000,Space Science,Earth Exploration Satellite Service (active),1
9800000000,9900000000,Space Science,Space Research Service (Active),1
9975000000,10025000000,Space Science,Met Office,1
10000000000,10125000000,Amateur,Amateur Radio Foundation Licence,1
10000000000,10125000000,Amateur,Amateur Radio Full Licence,1
10000000000,10125000000,Amateur,Amateur Radio Intermediate Licence,1
10125000000,10205000000,Fixed Links,Spectrum Access Mobile Broadband Network Limited (Uplink),1
10125000000,10225000000,N/A,Spectrum Access 10 - 40 GHz Band,0
10205000000,10225000000,Fixed Links,Spectrum Access Digiweb (Uplink),1
10225000000,10500000000,Amateur,Amateur Radio Full Licence,1
10225000000,10500000000,Amateur,Amateur Radio Intermediate Licence,1
10225000000,10600000000,Public sector,Military,1
10250000000,10270000000,Public sector,Business Radio (Police and Fire),1
10300000000,10360000000,PMSE,Programme Making and Special Events (Fixed Site),1
10300000000,10360000000,PMSE,Programme Making and Special Events (Link),1
10300000000,10360000000,PMSE,Programme Making and Special Events (Low Power),1
10360000000,10400000000,Public sector,Business Radio (Police and Fire),1
10400000000,10460000000,Public sector,Business Radio (Police and Fire),1
10450000000,10500000000,Amateur,Amateur Radio Foundation Licence,1
10475000000,10555000000,Fixed Links,Spectrum Access Mobile Broadband Network Limited (Downlink),1
10475000000,10575000000,N/A,Spectrum Access 10 - 40 GHz Band,0
10555000000,10575000000,Fixed Links,Spectrum Access Digiweb (Downlink),1
10575000000,10600000000,Licence exempt,Radio Determination,1
10600000000,10680000000,Space Science,Earth Exploration Satellite Service (passive),1
10600000000,10680000000,Space Science,Met Office,1
10600000000,10680000000,Space Science,Space Research Service (passive),1
10675000000,10699000000,Licence exempt,Radio Determination,1
10675000000,10699000000,Licence exempt,Short Range Indoor Data Links,1
10680000000,10700000000,Space Science,Earth Exploration Satellite Service (passive),1
10680000000,10700000000,Space Science,Met Office,1
10680000000,10700000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
10680000000,10700000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
10680000000,10700000000,Space Science,Space Research Service (passive),1
10700000000,10850000000,Licence exempt,Radar Level Gauges,1
10700000000,10850000000,Licence exempt,Radar Level Gauges,1
10700000000,11700000000,Fixed Links,Point-to-Point Fixed Links,1
10700000000,11700000000,Satellite,Land Mobile-Satellite Service Stations,1
10700000000,12750000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
10700000000,12750000000,Satellite,Satellite (Permanent Earth Station),1
11700000000,12500000000,Satellite,Broadcasting Satellite,1
11700000000,12750000000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
11700000000,13250000000,Public sector,Military,1
12200000000,12500000000,PMSE,Programme Making and Special Events (Fixed Site),1
12200000000,12500000000,PMSE,Programme Making and Special Events (Link),1
12200000000,12500000000,PMSE,Programme Making and Special Events (Low Power),1
12500000000,12750000000,Satellite,Land Mobile-Satellite Service Stations,1
12750000000,13250000000,Fixed Links,Point-to-Point Fixed Links,1
12750000000,13250000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
12750000000,13250000000,Satellite,Satellite (Permanent Earth Station),1
12750000000,13250000000,Space Science,Space Research Service (deep space),1
13250000000,13400000000,,,0
13250000000,13400000000,Aeronautical,Aircraft,1
13250000000,13400000000,Public sector,Military,1
13400000000,13750000000,Space Science,Earth Exploration Satellite Service (active),1
13400000000,13750000000,Space Science,Met Office,1
13400000000,13750000000,Space Science,Space Research Service (Active),1
13400000000,14000000000,Licence exempt,Radio Determination,1
13400000000,14000000000,Public sector,Military,1
13750000000,14000000000,,,0
13750000000,14000000000,Space Science,Earth Exploration Satellite Service,1
13750000000,14500000000,Satellite,Satellite (Earth Station)(Non-Geostationary),1
